blueWins,blueWardsPlaced,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueTowersDestroyed,blueAvgLevel,blueTotalMinionsKilled,redWardsPlaced,redFirstBlood,redKills,redDeaths,redAssists,redDragons,redHeralds,redTowersDestroyed,redAvgLevel,redTotalMinionsKilled
1,16,0,4,11,5,0,1,1,6.6,232,37,1,11,4,15,1,0,0,7.2,216
0,16,0,3,8,4,1,1,0,6.6,191,17,1,8,3,9,0,0,0,7.2,241
1,17,1,13,9,22,0,0,0,7.0,207,17,0,9,13,11,0,0,0,7.0,200
0,15,1,4,3,4,0,0,0,6.6,232,16,0,3,4,3,0,0,0,6.8,209
0,15,1,3,1,3,1,0,0,6.6,224,40,0,1,3,1,0,1,0,6.8,220
0,21,0,8,8,3,0,0,0,6.8,203,17,1,8,8,6,0,0,0,7.0,168
0,70,0,8,6,12,1,1,0,7.0,178,13,1,6,8,6,0,0,0,6.6,232
0,18,0,6,7,10,0,1,0,6.8,230,38,1,7,6,11,1,0,0,7.0,222
0,10,0,6,14,3,0,0,0,6.8,198,13,1,14,6,16,1,1,0,7.0,201
0,15,1,7,11,9,0,0,0,7.2,230,16,0,11,7,11,1,0,0,7.2,178
1,15,0,13,5,10,1,1,0,7.8,222,39,1,5,13,6,0,0,0,6.6,208
1,91,0,10,5,13,0,0,1,7.2,213,17,1,5,10,6,0,0,0,6.6,210
0,18,1,3,10,4,0,0,0,6.4,200,16,0,10,3,10,1,1,0,7.6,246
1,16,0,6,6,5,0,0,0,7.0,205,19,1,6,6,5,1,0,0,7.0,224
1,18,1,7,6,8,0,0,1,6.6,207,41,0,6,7,6,0,0,0,6.4,178
1,16,1,9,5,9,1,0,0,7.0,225,12,0,5,9,3,0,1,0,6.6,229
1,13,1,8,3,9,1,1,0,7.2,235,13,0,3,8,2,0,0,0,7.0,234
1,13,0,5,6,4,1,0,0,7.0,198,25,1,6,5,7,0,0,0,7.0,199
0,54,0,4,2,6,1,0,0,7.0,229,15,1,2,4,1,0,1,0,7.0,218
1,17,1,6,6,10,0,0,0,6.4,221,14,0,6,6,9,1,0,0,6.4,203
0,35,0,5,9,5,0,0,0,6.6,196,16,1,9,5,7,1,0,0,6.8,237
0,10,1,7,7,5,0,0,0,6.8,215,33,0,7,7,8,1,0,0,7.0,217
0,19,1,6,7,7,0,0,0,6.6,225,15,0,7,6,10,1,0,0,7.2,212
1,22,1,7,3,6,1,0,0,7.4,253,60,0,3,7,3,0,1,0,6.8,179
0,19,1,4,6,1,0,0,0,6.4,188,19,0,6,4,5,1,1,0,6.8,196
1,14,0,5,4,7,0,1,0,6.8,188,20,1,4,5,7,0,0,0,6.6,190
0,15,1,5,5,5,0,0,0,7.0,213,21,0,5,5,7,1,1,0,7.0,249
1,38,1,5,5,6,1,0,0,6.8,229,37,0,5,5,6,0,1,0,7.2,216
0,16,0,6,11,8,1,0,0,6.8,200,14,1,11,6,12,0,0,0,7.4,214
1,17,0,6,6,6,0,0,0,7.2,240,56,1,6,6,7,1,0,0,6.8,199
1,18,1,9,5,9,0,0,0,7.2,230,45,0,5,9,5,0,0,0,7.0,206
0,19,0,2,8,4,0,0,0,6.2,222,18,1,8,2,11,0,1,1,7.0,242
1,14,1,5,4,3,1,0,0,7.4,238,16,0,4,5,5,0,0,0,7.0,210
1,17,0,4,8,6,0,1,0,7.0,222,15,1,8,4,13,1,0,0,7.0,230
0,12,0,5,6,5,0,1,0,7.0,211,15,1,6,5,8,1,0,0,7.6,222
0,86,1,3,5,3,0,0,0,6.6,186,36,0,5,3,6,1,0,0,7.2,218
1,16,1,8,2,5,1,0,0,7.2,229,14,0,2,8,2,0,0,0,6.2,208
1,15,0,10,2,11,0,0,0,7.2,218,83,1,2,10,1,1,0,0,6.6,219
0,22,1,6,7,7,0,0,0,6.8,180,46,0,7,6,9,0,0,0,7.2,243
0,16,0,1,5,2,0,0,0,6.2,187,20,1,5,1,4,1,0,0,7.0,236
0,17,0,6,6,9,0,0,0,7.2,269,19,1,6,6,3,1,0,0,7.0,245
1,16,0,9,7,13,1,1,0,6.8,178,14,1,7,9,4,0,0,0,6.8,215
0,15,1,4,3,2,0,1,0,7.2,263,15,0,3,4,1,1,0,0,6.8,208
0,14,1,4,12,5,0,0,0,6.4,198,13,0,12,4,20,1,0,1,7.4,177
0,25,1,6,6,11,1,0,0,6.8,240,17,0,6,6,7,0,0,0,7.0,233
0,11,0,1,5,1,0,0,0,6.6,223,14,1,5,1,7,1,1,0,7.4,259
1,25,1,14,3,15,0,0,0,7.4,212,13,0,3,14,4,0,0,0,6.4,196
0,15,0,0,5,0,0,0,0,6.4,233,56,1,5,0,8,1,0,0,7.0,229
0,17,0,6,11,4,1,0,0,6.6,191,19,1,11,6,14,0,0,0,7.2,206
1,17,1,6,6,5,0,1,0,6.6,210,14,0,6,6,3,1,0,0,7.0,194
0,14,0,4,7,6,0,0,0,7.0,268,13,1,7,4,8,1,0,0,7.4,244
1,18,1,10,5,8,1,0,0,7.2,242,13,0,5,10,7,0,0,0,6.8,214
0,17,0,6,8,5,0,0,0,6.6,222,40,1,8,6,12,1,0,0,6.8,216
1,42,1,8,5,10,1,0,0,7.4,229,14,0,5,8,5,0,0,0,7.2,222
0,17,0,11,8,15,0,0,0,6.6,174,17,1,8,11,9,1,1,0,6.8,212
1,15,0,4,4,4,0,1,0,7.2,252,29,1,4,4,1,0,0,0,7.0,214
0,12,0,1,5,3,1,0,0,7.0,231,17,1,5,1,4,0,0,0,7.0,235
0,14,0,8,7,3,0,0,0,7.2,234,15,1,7,8,4,0,0,0,6.8,182
0,13,0,5,14,6,1,0,0,6.6,167,15,1,14,5,9,0,0,0,7.8,238
0,13,0,4,6,6,0,0,0,6.6,221,15,1,6,4,10,1,0,0,7.0,262
0,68,0,1,14,1,1,0,0,5.8,174,15,1,14,1,18,0,0,1,7.0,234
1,20,0,4,9,3,0,0,0,6.8,212,12,1,9,4,11,0,0,0,7.2,224
1,16,0,5,5,7,1,0,0,6.6,201,18,1,5,5,3,0,0,0,6.8,213
0,12,1,4,2,2,0,1,0,7.2,245,15,0,2,4,1,0,0,0,6.8,212
0,13,1,5,5,8,0,1,0,6.8,220,15,0,5,5,8,1,0,0,6.8,185
1,16,0,12,9,15,0,0,0,6.6,186,17,1,9,12,11,1,0,0,6.8,204
1,35,1,6,2,9,1,0,0,6.6,221,15,0,2,6,1,0,0,0,6.6,201
0,14,0,3,8,3,0,0,0,6.8,227,84,1,8,3,5,1,0,0,7.2,214
1,35,0,5,5,3,0,0,0,7.0,244,17,1,5,5,5,1,0,0,7.0,217
1,18,1,14,5,12,1,0,0,6.8,230,17,0,5,14,6,0,0,0,5.8,178
0,22,0,5,7,3,0,1,0,7.0,198,13,1,7,5,11,1,0,0,7.0,212
0,124,1,5,4,6,0,1,0,7.0,225,17,0,4,5,2,0,0,0,6.8,227
1,18,1,3,7,2,0,0,0,6.6,231,17,0,7,3,6,0,1,0,7.4,260
1,22,0,1,2,3,0,0,0,6.8,228,16,1,2,1,1,1,0,0,6.6,223
1,13,1,11,4,8,1,1,1,7.4,233,15,0,4,11,4,0,0,0,7.0,231
0,34,0,2,7,2,0,0,0,6.8,220,13,1,7,2,7,0,0,0,7.2,230
1,24,1,8,4,8,0,0,0,6.8,242,17,0,4,8,7,0,0,0,6.6,195
0,50,1,6,3,9,1,0,0,6.6,213,37,0,3,6,3,0,0,0,6.8,254
0,16,0,10,5,13,1,0,0,7.2,213,36,1,5,10,3,0,0,0,6.8,225
0,13,0,2,5,2,0,1,0,7.0,252,13,1,5,2,8,0,0,0,7.0,231
0,33,0,2,5,2,0,0,0,7.0,230,17,1,5,2,8,1,0,0,7.0,248
1,13,0,12,4,11,0,0,0,7.2,255,17,1,4,12,5,1,0,0,6.8,215
1,17,0,8,6,7,1,0,0,7.4,240,13,1,6,8,9,0,0,0,7.0,206
1,78,1,9,3,10,0,0,0,7.0,230,18,0,3,9,1,0,1,0,6.6,183
0,16,0,5,6,5,1,0,0,7.0,221,16,1,6,5,6,0,0,0,7.4,247
0,22,1,9,6,13,0,0,0,6.8,212,11,0,6,9,7,0,0,0,7.0,180
0,15,0,5,5,3,0,1,0,6.8,241,15,1,5,5,6,1,0,0,6.4,207
0,19,1,9,3,8,0,0,0,6.8,202,17,0,3,9,5,0,0,0,6.8,204
0,40,0,1,7,1,0,0,0,6.8,200,17,1,7,1,7,1,0,0,7.2,253
0,13,0,1,3,1,0,0,0,7.0,227,17,1,3,1,5,1,0,0,7.2,250
1,15,0,8,7,10,1,0,0,6.6,204,14,1,7,8,5,0,0,0,6.8,209
1,31,1,6,4,7,0,0,0,7.2,235,20,0,4,6,5,0,0,0,6.6,215
0,44,0,5,7,2,1,0,0,7.2,217,17,1,7,5,9,0,0,0,7.2,241
0,27,0,10,12,13,1,0,0,6.4,184,14,1,12,10,7,0,0,0,6.8,208
0,16,0,5,9,5,0,0,0,6.4,173,12,1,9,5,12,1,0,0,7.0,241
1,54,0,6,1,8,1,1,0,7.0,224,37,1,1,6,1,0,0,0,6.4,207
1,13,0,9,5,4,1,1,0,7.4,223,16,1,5,9,3,0,0,0,7.2,226
0,17,0,1,6,2,0,0,0,6.6,218,24,1,6,1,10,1,0,0,7.2,263
1,14,0,5,6,6,1,0,0,7.4,233,16,1,6,5,5,0,0,0,7.0,230
1,12,1,7,6,5,1,0,0,7.0,246,16,0,6,7,8,0,0,0,6.4,196
0,14,1,7,7,6,0,0,0,7.0,209,33,0,7,7,7,0,0,0,7.2,182
1,24,1,14,4,14,0,0,0,7.6,249,13,0,4,14,5,1,0,0,6.2,186
1,14,1,6,4,3,1,0,0,7.0,228,12,0,4,6,2,0,0,0,6.6,220
0,36,1,4,11,2,1,0,0,6.8,197,16,0,11,4,7,0,0,0,7.4,182
1,40,0,8,9,9,0,1,0,7.0,214,25,1,9,8,10,0,0,0,6.6,208
0,19,1,5,7,7,0,0,0,6.8,209,19,0,7,5,8,1,0,0,7.2,215
1,17,0,5,7,3,1,0,0,6.8,234,39,1,7,5,13,0,1,0,7.0,227
1,27,1,10,6,8,0,1,0,6.8,222,18,0,6,10,5,1,0,0,6.4,213
1,17,1,6,2,9,0,0,0,7.2,230,17,0,2,6,2,1,0,0,6.8,217
1,18,0,14,4,21,1,0,0,7.4,220,66,1,4,14,4,0,0,0,6.6,205
1,13,1,9,4,6,0,0,0,7.0,220,15,0,4,9,3,0,0,0,6.2,181
1,15,0,3,8,4,0,0,0,6.6,194,16,1,8,3,9,1,0,0,7.0,207
1,22,1,6,0,8,1,0,0,7.4,265,15,0,0,6,0,0,0,0,6.8,242
0,19,0,4,7,3,0,0,0,6.8,210,15,1,7,4,9,1,1,0,7.0,214
0,12,0,3,5,3,0,1,0,7.0,270,14,1,5,3,7,1,0,0,7.0,235
1,16,0,7,3,7,1,0,0,7.0,238,11,1,3,7,2,0,0,0,7.0,216
1,57,0,11,9,13,0,0,0,7.0,225,15,1,9,11,9,1,0,0,7.2,205
0,10,1,2,11,3,0,0,0,6.8,196,12,0,11,2,12,1,0,0,7.4,259
1,18,0,11,6,13,1,1,0,7.6,236,36,1,6,11,12,0,0,0,6.4,208
1,18,0,11,7,14,0,0,0,7.0,217,20,1,7,11,8,1,0,0,6.4,174
0,22,0,4,12,0,1,0,0,6.8,190,16,1,12,4,14,0,0,0,7.2,224
0,18,1,4,1,4,0,1,1,6.8,227,15,0,1,4,0,1,0,0,6.8,248
0,15,0,3,9,3,0,0,0,6.6,217,39,1,9,3,10,1,1,0,7.4,224
0,16,0,4,9,5,0,1,0,6.4,173,30,1,9,4,13,1,0,0,7.0,213
1,11,0,5,6,6,1,0,0,7.2,223,9,1,6,5,5,0,0,0,7.4,218
0,18,0,3,5,5,0,0,0,6.6,241,17,1,5,3,6,1,0,0,7.0,226
1,18,1,6,10,8,0,0,0,6.8,201,14,0,10,6,12,1,0,0,7.2,198
0,39,1,9,8,5,0,0,0,7.0,194,18,0,8,9,10,0,0,0,6.8,215
1,39,1,6,2,3,1,0,0,7.2,238,17,0,2,6,3,0,0,0,6.6,233
1,17,1,5,3,5,0,0,0,7.0,229,18,0,3,5,4,0,0,0,6.4,197
0,18,1,3,8,2,0,0,0,6.8,222,18,0,8,3,6,0,0,0,7.2,238
1,21,0,3,5,3,1,1,0,7.2,268,16,1,5,3,7,0,0,0,6.8,246
0,14,0,5,10,4,0,0,0,6.4,196,22,1,10,5,12,0,1,0,7.0,225
0,40,0,6,9,5,0,0,0,6.8,222,13,1,9,6,12,1,0,0,7.0,204
1,37,1,10,4,10,0,0,0,7.2,218,15,0,4,10,3,0,0,0,6.8,193
0,13,1,5,2,5,1,0,0,7.0,224,16,0,2,5,3,0,1,0,7.0,250
1,16,1,11,5,12,1,0,0,7.2,223,16,0,5,11,4,0,0,0,7.2,230
0,15,1,4,8,3,0,0,0,7.0,209,16,0,8,4,7,0,0,0,7.2,224
1,18,1,6,3,7,1,0,0,7.4,245,48,0,3,6,2,0,0,0,7.0,211
1,37,0,10,5,15,1,0,0,7.2,235,15,1,5,10,8,0,1,0,6.8,221
0,16,0,1,10,2,0,1,0,6.6,219,14,1,10,1,15,1,0,0,7.0,248
1,35,1,10,5,14,1,1,0,7.2,200,15,0,5,10,5,0,0,0,6.8,212
0,16,0,1,4,2,0,1,0,6.8,224,16,1,4,1,4,1,0,0,7.0,241
0,15,0,8,6,8,1,0,0,6.8,212,14,1,6,8,6,0,1,0,7.0,209
0,14,0,1,6,1,0,0,0,6.4,169,19,1,6,1,5,0,0,1,7.2,270
0,16,0,5,11,4,0,0,0,6.8,214,141,1,11,5,5,1,0,0,7.6,208
0,15,1,3,4,6,0,0,0,6.8,213,19,0,4,3,4,1,0,0,7.0,238
1,13,1,5,3,4,1,1,0,7.0,217,39,0,3,5,4,0,0,0,7.2,215
0,18,1,2,5,3,1,0,0,6.8,250,45,0,5,2,9,0,0,0,6.8,243
0,16,0,3,3,4,0,0,0,6.8,227,12,1,3,3,3,0,0,0,6.8,251
0,19,1,7,8,5,1,0,0,7.2,240,16,0,8,7,13,0,0,0,7.0,177
